gt_a,gt_b,dw_true,dw_pred,dw_pred_round,hit,conf,a_dist,b_dist
10,21,1.0,-0.5063132651198075,-1.0,False,0.5974414992722323,0.0,0.0
10,30,2.0,-1.1460308109798376,-1.0,False,0.7883961086258362,0.0,0.0
10,39,3.0,-1.1460308109798376,-1.0,False,0.7883961086258362,0.0,0.0
10,40,4.0,-2.8797002751605234,-3.0,False,0.7883961086258362,0.0,0.0
10,41,5.0,-2.8797002751605234,-3.0,False,0.7883961086258362,0.0,0.0
10,42,6.0,-3.7564062906916362,-4.0,False,0.7883961086258362,0.0,0.0
21,30,1.0,-0.6397175458600302,-1.0,False,0.5974414992722323,0.0,0.0
21,39,2.0,-0.6397175458600302,-1.0,False,0.5974414992722323,0.0,0.0
21,40,3.0,-2.373387010040716,-2.0,False,0.5974414992722323,0.0,0.0
21,41,4.0,-2.373387010040716,-2.0,False,0.5974414992722323,0.0,0.0
21,42,5.0,-3.2500930255718288,-3.0,False,0.5974414992722323,0.0,0.0
21,43,6.0,-4.609867500118256,-5.0,False,0.5974414992722323,0.0,0.0
30,39,1.0,0.0,0.0,False,0.9306016793388809,0.0,0.0
30,40,2.0,-1.7336694641806858,-2.0,False,0.8090102932969659,0.0,0.0
30,41,3.0,-1.7336694641806858,-2.0,False,0.8090102932969659,0.0,0.0
30,42,4.0,-2.6103754797117986,-3.0,False,0.8215003703175646,0.0,0.0
30,43,5.0,-3.9701499542582255,-4.0,False,0.8815289781539232,0.0,0.0
30,0,6.0,-4.170803755173125,-4.0,False,0.7267078182027918,0.0,0.0
39,40,1.0,-1.7336694641806858,-2.0,False,0.8090102932969659,0.0,0.0
39,41,2.0,-1.7336694641806858,-2.0,False,0.8090102932969659,0.0,0.0
39,42,3.0,-2.6103754797117986,-3.0,False,0.8215003703175646,0.0,0.0
39,43,4.0,-3.9701499542582255,-4.0,False,0.8815289781539232,0.0,0.0
39,0,5.0,-4.170803755173125,-4.0,False,0.7267078182027918,0.0,0.0
39,1,6.0,-4.810838101935296,-5.0,False,0.7633768396517034,0.0,0.0
40,41,1.0,0.0,0.0,False,0.8090102932969659,0.0,0.0
